name,screen_name,tweet_count,likes,follower_count,following,default image,location,date created,verified
Felicia Day,feliciaday,31856,50681,3003382,602,FALSE,"Los Angeles, CA",2007,TRUE
Ana Navarro,ananavarro,19798,5588,690985,755,FALSE,"Coral Gables, Fl",2009,TRUE
Hank Green P4A TIME!!!,hankgreen,23172,14800,785575,677,FALSE,"Missoula, MT",2009,TRUE
Dana Gileza,danagileza,17865,18714,634,579,FALSE,"Bel Air, MD",2011,FALSE
Joanna Robinson,jowrotethis,82814,67648,40183,1698,FALSE,"oakland, ca",2011,TRUE
Linda,lacakagog,64772,54391,8298,7049,FALSE,Northern NJ,2011,FALSE
taylor j,PlainTay,42656,9047,1033,703,FALSE,Maryland,2011,FALSE
BuzzFeed News,BuzzFeedNews,120560,1497,1110873,4778,FALSE,,2012,TRUE
can u not,sassytbh,16229,41,377453,49,FALSE,,2012,FALSE
Tweet Like A Girl,TweetLikeAGirI,7413,2302,2638870,0,FALSE,,2012,FALSE
Ami Kutzen,amikutzen,4523,13679,210,726,FALSE,,2013,FALSE
Bleacher Report,BleacherReport,85678,139,5897918,607,FALSE,,2007,FALSE
BuzzFeed,BuzzFeed,183033,3091,6308674,3123,FALSE,New York,2007,TRUE
billboard,billboard,166170,5862,6000901,3142,FALSE,Worldwide!,2007,TRUE
Jake Tapper,jaketapper,159211,14607,1523103,6000,FALSE,,2008,TRUE
John Legend,johnlegend,11726,7705,11145975,833,FALSE,#DarknessAndLightTour,2008,TRUE
SportsCenter,SportsCenter,100464,1158,35304863,1661,FALSE,"Bristol, CT",2009,TRUE
jomny sun,jonnysun,42455,249588,506612,1722,FALSE,jonnysunwrites@gmail.com,2009,TRUE
ICE T,FINALLEVEL,26877,130517,890969,1260,FALSE,THE HOOD,2009,TRUE
deray,deray,212447,44582,1021381,896,FALSE,Wakanda,2009,TRUE
Sarah Silverman,SarahKSilverman,10025,8979,12282087,1001,FALSE,state of Palestine ,2009,TRUE
Lin-Manuel Miranda,Lin_Manuel,50133,30880,2007748,2447,FALSE,At places.,2009,TRUE
Ed Krassenstein,EdKrassen,22283,14110,588280,360179,FALSE,"Fort Myers, FL",2010,FALSE
maryvball5,LngHairThckRdBn,24788,21273,774,696,FALSE,,2011,FALSE
Frost,_LindsayFrost,14875,1804,535,459,FALSE,"Hoboken, NJ",2011,FALSE
yummy yams,eastafricanjefe,49234,11541,3133,2754,FALSE,vt19,2011,FALSE
#GoodEnoughWinter,NathanZed,31352,126398,462380,1400,FALSE,dmv,2011,TRUE
Jin Kim,JinKimBaby,3471,606,108,109,FALSE,,2011,FALSE
Anna Salgado,annalovesnugs,12350,38592,953,535,FALSE,Northern IL,2012,FALSE
Iceblink (Just My) Luck,HolyShint,5875,14376,272,323,FALSE,Rainforest Cafe ,2012,FALSE
Jarrod❄⛰❄,JarrodTheLord,17275,27500,4330,4216,FALSE,"HOUSTON, TX",2012,FALSE
ang,playwiftea,2886,37637,8580,3274,FALSE,ari x6 | issa x17 ,2012,FALSE
Earth Pictures™,EarthBeauties,21161,7,1055233,334,FALSE,Paradise,2012,FALSE
Cereal,Areusupercereal,13098,9360,19685,209,FALSE,Kermit the Frogs House,2013,FALSE
🕸 지민 🕸,JiiiMiiiNaaa,71477,55154,16880,9167,FALSE,방탄소년단 Era ❣,2013,FALSE
Mason Levi,iAmMasonLevi,8063,9422,13518,679,FALSE,"Pittsburgh, PA",2013,FALSE
naj✨/ tysm ari,grandestilinksi,41977,36999,4579,589,FALSE,Honeymoon Ave/ pennsylvania,2013,FALSE
la diablita ☠️🥀,rathumanoid,77855,44059,1023,1378,FALSE,,2013,FALSE
‎ً,gayandtirred,24024,41378,8581,196,FALSE,🇵🇷,2014,FALSE
“,jeonshhi,20805,38777,4371,1457,FALSE,semi-nsfw,2015,FALSE
Feliz Navidaddy 🐝🇩🇴🎄,SavinTheBees,22869,11788,30645,343,FALSE,LA/Sacramento California,2015,FALSE
abi,JE0NULT,19175,13129,1526,92,FALSE,,2015,FALSE
Festive 💋,balmainstripper,60218,58278,2701,507,FALSE,A,2015,FALSE
Ernie the Fox,Erniethefox,9286,34235,732,1975,FALSE,Southern California,2016,FALSE
ℬ°,AiiIuros,29734,8407,2975,591,FALSE, ⎛  ɴsꜰᴡ  ⎠,2016,FALSE
𖤐,holyackIes,19018,21073,1284,71,FALSE,abnsdjm,2017,FALSE
Rachel Lindsay,TheRachLindsay,581,525,134032,145,FALSE,"Dallas, TX",2017,TRUE
aix loves all her mutuals. all.,97slust,35163,22916,2681,62,FALSE,a² jenny ,2017,FALSE
